NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,PAGE NO,CUSINE TYPE,TIMING,RATING_TYPE,RATING,VOTES
Merrie Berrie,450,"Bakery,Fast Food",Coimbatore,Peelamedu,https://www.zomato.com/coimbatore/merrie-berrie-peelamedu/info,28,Bakery,9am to 9pm(Mon-Sun),Average,3.3,7
Famous Jigarthanda,250,South Indian,Coimbatore,Ramanathapuram,https://www.zomato.com/coimbatore/famous-jigarthanda-ramanathapuram/info,28,Quick Bites,10am to 10pm(Mon-Sun),Average,3.3,4
Aachi Mess,200,South Indian,Coimbatore,Gandhipuram,https://www.zomato.com/coimbatore/aachi-mess-gandhipuram/info,28,Quick Bites,"10am to 9pm(Mon-Sat),Closed(Sun)",Good,3.6,17
Ridhi Sidhi,150,Beverages,Coimbatore,RS Puram,https://www.zomato.com/coimbatore/ridhi-sidhi-rs-puram/info,28,Beverage Shop,10am to 10pm(Mon-Sun),Average,3.1,12
Intervals,300,"Fast Food,Burger,Sandwich",Coimbatore,Fun Republic Mall-- Avinashi Road,https://www.zomato.com/coimbatore/intervals-peelamedu/info,28,Food Court,10am to 1030pm(Mon-Sun),Average,3.2,8
Shree Anandhaas Sweets & Snacks,200,"Mithai,Desserts,Street Food",Coimbatore,Lakshmi Mills,https://www.zomato.com/coimbatore/shree-anandhaas-sweets-snacks-lakshmi-mills/info,28,Sweet Shop,8am to 10pm(Mon-Sun),None,NEW,NEW
The Urban Salad,300,Salad,Coimbatore,Peelamedu,https://www.zomato.com/coimbatore/the-urban-salad-peelamedu/info,28,none,10am to 1030pm(Mon-Sun),Average,3.2,9
Just Bake,400,Bakery,Coimbatore,Kalapatti,https://www.zomato.com/coimbatore/just-bake-kalapatti/info,28,Bakery,1030am to 1030pm(Mon-Sun),Average,3.4,7
Paasham Cakes,300,Bakery,Coimbatore,Podanur,https://www.zomato.com/coimbatore/paasham-cakes-podanur/info,28,Bakery,10am to 10pm(Mon-Sun),Average,3.4,14
Le Rucchi,400,South Indian,Coimbatore,RS Puram,https://www.zomato.com/coimbatore/le-rucchi-rs-puram/info,28,Casual Dining,11am to 10pm(Mon-Sun),Average,3.4,12
Kovai Kumara Bhavan,300,"South Indian,Chinese",Coimbatore,Peelamedu,https://www.zomato.com/coimbatore/kovai-kumara-bhavan-peelamedu/info,28,Quick Bites,"730am to 11am,1215pm to 4pm(Mon-Sun)",None,NEW,NEW
Annapoorna Mithai,300,"Street Food,Mithai",Coimbatore,RS Puram,https://www.zomato.com/coimbatore/annapoorna-mithai-rs-puram/info,28,Quick Bites,10am to 10pm(Mon-Sun),Average,3.4,15
Lassi Town,300,"Beverages,Desserts",Coimbatore,Thudiyalur,https://www.zomato.com/coimbatore/lassi-town-thudiyalur/info,28,Beverage Shop,11am to 10pm(Mon-Sun),Average,3.3,11
Call For Cake,250,"Bakery,Desserts",Coimbatore,Sivanadha Colony,https://www.zomato.com/coimbatore/call-for-cake-sivanadha-colony/info,28,Bakery,930am to 9pm(Mon-Sun),Average,3.3,10
Andhra Bhojana,200,"Andhra,North Indian,South Indian",Coimbatore,Saravanampatty,https://www.zomato.com/coimbatore/andhra-bhojana-saravanampatty/info,28,Quick Bites,"1130am to 330pm,6pm to 1030pm(Mon-Sun)",None,NEW,NEW
JR Cakes & Bakes,250,"Bakery,Desserts",Coimbatore,Peelamedu,https://www.zomato.com/coimbatore/jr-cakes-bakes-peelamedu/info,20,Bakery,7am to 1030pm(Mon-Sun),Average,3.3,20
Nidhi Manpanda Unavagam,400,Fast Food,Coimbatore,RS Puram,https://www.zomato.com/coimbatore/nidhi-manpanda-unavagam-rs-puram/info,20,Quick Bites,11am to 10pm(Mon-Sun),Average,3.3,12
Pizza Paradize,250,Pizza,Coimbatore,Vadavalli,https://www.zomato.com/coimbatore/pizza-paradize-vadavalli/info,20,Quick Bites,1130am to 1030pm(Mon-Sun),Good,3.7,24
Kovai Kabab,250,"North Indian,South Indian,Kebab,Chinese",Coimbatore,Saravanampatty,https://www.zomato.com/coimbatore/kovai-kabab-saravanampatty/info,20,Quick Bites,"11am to 4pm,6pm to 1030pm(Mon-Sun)",Good,3.8,28
Cream & Fudge,300,"Desserts,Ice Cream",Coimbatore,Sitra,https://www.zomato.com/coimbatore/cream-fudge-sitra/info,20,Dessert Parlor,11am to 1030pm(Mon-Sun),Not rated,-,-
Bakes N Chocs,200,"Bakery,Fast Food",Coimbatore,Ramanathapuram,https://www.zomato.com/coimbatore/bakes-n-chocs-ramanathapuram/info,20,Bakery,10am to 10pm(Mon-Sun),Good,3.6,21
Diner's Park,500,Fast Food,Coimbatore,Ramanathapuram,https://www.zomato.com/coimbatore/diners-park-ramanathapuram/info,20,Quick Bites,"12noon to 330pm,630pm to 1030pm(Mon-Sun)",Average,3.3,12
Oven Fresh,200,"Bakery,Desserts",Coimbatore,RS Puram,https://www.zomato.com/coimbatore/oven-fresh-rs-puram/info,20,Bakery,8am to 930pm(Mon-Sun),Good,3.6,27
Tharun Restaurant,400,"Fast Food,South Indian",Coimbatore,Saravanampatty,https://www.zomato.com/coimbatore/tharun-restaurant-saravanampatty/info,20,Quick Bites,"12noon to 1030pm(Mon-Sat),Closed(Sun)",Good,3.7,17
Fish Chain,350,"Seafood,BBQ,Biryani",Coimbatore,Ganapathy,https://www.zomato.com/coimbatore/fish-chain-ganapathy/info,20,Quick Bites,12noon to 10pm(Mon-Sun),Average,3.2,12
Agarwal Sweet Palace,500,"North Indian,South Indian,Mithai,Street Food",Coimbatore,Peelamedu,https://www.zomato.com/coimbatore/agarwal-sweet-palace-peelamedu/info,20,Quick Bites,10am to 9pm(Mon-Sun),Good,3.6,17
OMG - Oh My Grill,350,"Biryani,BBQ,Kebab",Coimbatore,Kalapatti,https://www.zomato.com/coimbatore/omg-oh-my-grill-kalapatti/info,20,Quick Bites,1130am to 1030pm(Mon-Sun),Average,3.4,22
Hangout Mini,500,"Desserts,Fast Food",Coimbatore,Saibaba Colony,https://www.zomato.com/coimbatore/hangout-mini-saibaba-colony/info,20,Quick Bites,1030am to 1030pm(Mon-Sun),Average,2.8,35
The Cake Point,200,"Bakery,Desserts,Sandwich,Ice Cream",Coimbatore,Ramanathapuram,https://www.zomato.com/coimbatore/the-cake-point-ramanathapuram/info,20,Bakery,10am to 10pm(Mon-Sun),Average,3.3,24
Dosart,200,South Indian,Coimbatore,Peelamedu,https://www.zomato.com/coimbatore/dosart-peelamedu/info,20,Quick Bites,430pm to 1030pm(Mon-Sun),Good,3.7,28
Home Brew,250,South Indian,Coimbatore,Sitra,https://www.zomato.com/coimbatore/home-brew-sitra/info,16,Quick Bites,12noon to 1030pm(Mon-Sun),Good,3.7,45
Nithya Hotel,400,South Indian,Coimbatore,Peelamedu,https://www.zomato.com/coimbatore/nithya-hotel-peelamedu/info,16,Quick Bites,8am to 11pm(Mon-Sun),Good,3.8,84
Taco Bell,550,"Mexican,Fast Food",Coimbatore,Prozone Mall-- Ganapathy,https://www.zomato.com/coimbatore/taco-bell-ganapathy/info,16,Food Court,11am to 11pm(Mon-Sun),Good,3.9,27
Sri Krishna Bhavan Restaurant,250,"North Indian,South Indian",Coimbatore,Town Hall,https://www.zomato.com/coimbatore/sri-krishna-bhavan-restaurant-town-hall/info,16,Quick Bites,"8am to 4pm,730pm to 1030pm(Mon-Sun)",Good,3.8,43
Sree Anandhaas,500,"Chinese,South Indian,North Indian,Chettinad",Coimbatore,Gandhipuram,https://www.zomato.com/coimbatore/sree-anandhaas-gandhipuram/info,16,Casual Dining,7am to 10pm(Mon-Sun),Good,3.8,46
A1 Biryani Hotel,250,Biryani,Coimbatore,Vadavalli,https://www.zomato.com/coimbatore/a1-biryani-hotel-vadavalli/info,16,Quick Bites,"12noon to 330pm,7pm to 1030pm(Mon-Sun)",Good,3.5,32
Tag With Us,400,"Beverages,Fast Food",Coimbatore,Race Course,https://www.zomato.com/coimbatore/tag-with-us-race-course/info,16,Café,10am to 11pm(Mon-Sun),Good,3.8,40
Coonoor Ramachandra,500,"South Indian,North Indian",Coimbatore,Peelamedu,https://www.zomato.com/coimbatore/coonoor-ramachandra-peelamedu/info,16,Casual Dining,730am to 1030pm(Mon-Sun),Good,3.7,49
Nilas Cake,400,"Bakery,Desserts",Coimbatore,Peelamedu,https://www.zomato.com/coimbatore/nilas-cake-peelamedu/info,16,Bakery,11am to 10pm(Mon-Sun),Good,3.6,32
Mechoz Tasty Bites,150,"Fast Food,Momos",Coimbatore,Kavundampalayam,https://www.zomato.com/coimbatore/mechoz-tasty-bites-kavundampalayam/info,16,Quick Bites,10am to 10pm(Mon-Sun),Good,3.5,53
Lakshmi Mess,200,South Indian,Coimbatore,Peelamedu,https://www.zomato.com/coimbatore/lakshmi-mess-peelamedu/info,16,Mess,6am to 10pm(Mon-Sun),Good,3.7,19
Kovai Coffee,100,"Cafe,Fast Food",Coimbatore,RS Puram,https://www.zomato.com/coimbatore/kovai-coffee-rs-puram/info,16,Café,"730am to 930pm(Mon-Sat),330pm to 9pm(Sun)",Good,3.6,37
Sri Krishna Sweets,300,Mithai,Coimbatore,Peelamedu,https://www.zomato.com/coimbatore/sri-krishna-sweets-peelamedu/info,16,Sweet Shop,"12midnight to 830pm,930pm to 12midnight...",Good,3.7,44
Big Belly Deli,400,"Cafe,Sandwich,Desserts",Coimbatore,Saibaba Colony,https://www.zomato.com/coimbatore/big-belly-deli-1-saibaba-colony/info,16,Café,1230pm to 1030pm(Mon-Sun),Good,3.9,29
Arun Ice Cream,200,"Ice Cream,Desserts",Coimbatore,Saibaba Colony,https://www.zomato.com/coimbatore/arun-ice-cream-saibaba-colony/info,16,Dessert Parlor,10am to 1030pm(Mon-Sun),Good,3.6,33
Hotel Chola,300,South Indian,Coimbatore,Ramanathapuram,https://www.zomato.com/coimbatore/hotel-chola-1-ramanathapuram/info,44,Quick Bites,11am to 11pm(Mon-Sun),Good,3.7,34
Rolling Dough Cafe,500,"Continental,American",Coimbatore,Peelamedu,https://www.zomato.com/coimbatore/rolling-dough-cafe-peelamedu/info,44,Quick Bites,"11am to 11pm(Mon-Fri),7am to 11pm(Sat-Sun)",Good,3.8,25
Idli Kadai,250,"South Indian,Fast Food",Coimbatore,RS Puram,https://www.zomato.com/coimbatore/idli-kadai-rs-puram/info,44,Quick Bites,"7am to 11am,4pm to 11pm(Mon-Sun)",Average,2.7,47
Behrouz Biryani,600,Biryani,Coimbatore,RS Puram,https://www.zomato.com/coimbatore/behrouz-biryani-rs-puram/info,44,none,10am to 1am(Mon-Sun),Good,3.5,17
The Bar 'B Quest,300,Fast Food,Coimbatore,Ramanathapuram,https://www.zomato.com/coimbatore/the-bar-b-quest-ramanathapuram/info,44,Quick Bites,11am to 11pm(Mon-Sun),Average,3.4,53
Arihant Multi Cusine Foods,300,"North Indian,South Indian,Chinese",Coimbatore,Peelamedu,https://www.zomato.com/coimbatore/arihant-multi-cusine-foods-peelamedu/info,44,Quick Bites,11am to 11pm(Mon-Sun),Good,3.6,25
Covai Grills,200,"South Indian,Chinese,North Indian",Coimbatore,Peelamedu,https://www.zomato.com/coimbatore/covai-grills-peelamedu/info,44,Quick Bites,11am to 11pm(Mon-Sun),Average,3.2,37
City Fried Chicken,500,Fast Food,Coimbatore,Hotel City Tower-- Gandhipuram,https://www.zomato.com/coimbatore/city-fried-chicken-gandhipuram/info,44,Quick Bites,11am to 11pm(Mon-Sun),Very Good,4.0,55
Cheesy Juicy Burgers,400,"Burger,Fast Food,Beverages",Coimbatore,Sitra,https://www.zomato.com/coimbatore/cheesy-juicy-burgers-sitra/info,44,Quick Bites,9am to 11pm(Mon-Sun),None,NEW,NEW
CR Biryani,500,"Biryani,South Indian",Coimbatore,Town Hall,https://www.zomato.com/coimbatore/cr-biryani-town-hall/info,44,Quick Bites,1230pm to 1230AM(Mon-Sun),Good,3.9,62
Malayala Thanima,300,"Seafood,Kerala",Coimbatore,Singanallur,https://www.zomato.com/coimbatore/malayala-thanima-singanallur/info,44,Quick Bites,8am to 11pm(Mon-Sun),Good,3.8,50
Burma Bhai Hotel,350,"South Indian,North Indian",Coimbatore,Nehru Stadium,https://www.zomato.com/coimbatore/burma-bhai-hotel-nehru-stadium/info,44,Quick Bites,12noon to 11pm(Mon-Sun),Good,3.8,50
Mrs. Tim's,350,Beverages,Coimbatore,Race Course,https://www.zomato.com/coimbatore/mrs-tims-race-course/info,44,Beverage Shop,10am to 11pm(Mon-Sun),Average,2.7,62
Burger Tree,300,"Fast Food,Burger,Beverages",Coimbatore,RS Puram,https://www.zomato.com/coimbatore/burger-tree-rs-puram/info,44,Quick Bites,1130am to 11pm(Mon-Sun),None,NEW,NEW
#PizzaLove,400,"Pizza,Fast Food",Coimbatore,Singanallur,https://www.zomato.com/coimbatore/pizzalove-singanallur/info,44,Casual Dining,11am to 11pm(Mon-Sun),Average,3.4,45
Spongees,400,"Bakery,Desserts,Beverages",Coimbatore,Saibaba Colony,https://www.zomato.com/coimbatore/spongees-saibaba-colony/info,37,Bakery,9am to 9pm(Mon-Sun),Not rated,-,-
Namma Ooru Kaapi,100,Beverages,Coimbatore,Gandhipuram,https://www.zomato.com/coimbatore/namma-ooru-kaapi-gandhipuram/info,37,none,615am to 945pm(Mon-Sun),Not rated,-,-
The South Indian Coffee House,150,"South Indian,Coffee",Coimbatore,Peelamedu,https://www.zomato.com/coimbatore/the-south-indian-coffee-house-peelamedu/info,37,Quick Bites,6am to 830pm(Mon-Sun),Not rated,-,-
Cake Castle,200,Bakery,Coimbatore,RS Puram,https://www.zomato.com/coimbatore/cake-castle-rs-puram/info,37,Bakery,10am to 10pm(Mon-Sun),Not rated,-,-
MFC Fish & Chips,600,Seafood,Coimbatore,Ganapathy,https://www.zomato.com/coimbatore/mfc-fish-chips-ganapathy/info,37,Casual Dining,"7am to 1030pm(Mon-Fri),630am to 1030pm(Sat-Sun)",Not rated,-,-
Natural Sip,100,"Beverages,Juices",Coimbatore,RS Puram,https://www.zomato.com/coimbatore/natural-sip-rs-puram/info,37,Beverage Shop,10am to 10pm(Mon-Sun),Not rated,-,-
Hotel Maa,300,South Indian,Coimbatore,Race Course,https://www.zomato.com/coimbatore/hotel-maa-race-course/info,37,Quick Bites,7am to 1030pm(Mon-Sun),Not rated,-,-
Hotel Sri Ganapathy,300,"South Indian,Chinese",Coimbatore,Ramanathapuram,https://www.zomato.com/coimbatore/hotel-sri-ganapathy-ramanathapuram/info,37,Quick Bites,7am to 1030pm(Mon-Sun),Not rated,-,-
Gem Biryani,400,North Indian,Coimbatore,Ramanathapuram,https://www.zomato.com/coimbatore/gem-biryani-ramanathapuram/info,37,Casual Dining,12noon to 10pm(Mon-Sun),Not rated,-,-
Petra Coffee House,100,"Coffee,Tea",Coimbatore,Gandhipuram,https://www.zomato.com/coimbatore/petra-coffee-house-gandhipuram/info,37,Beverage Shop,9am to 10pm(Mon-Sun),Not rated,-,-
Kannan's Snac Corner,100,Street Food,Coimbatore,RS Puram,https://www.zomato.com/coimbatore/kannans-snac-corner-rs-puram/info,37,Quick Bites,"4pm to 10pm(Mon-Sat),Closed(Sun)",Not rated,-,-
A1 Snack Street Express,200,"Bakery,Fast Food",Coimbatore,RS Puram,https://www.zomato.com/coimbatore/a1-snack-street-express-rs-puram/info,37,Quick Bites,930am to 1030pm(Mon-Sun),None,NEW,NEW
Food Max,300,"North Indian,South Indian,Street Food",Coimbatore,Saravanampatty,https://www.zomato.com/coimbatore/food-max-saravanampatty/info,37,Quick Bites,730am to 1030pm(Mon-Sun),Not rated,-,-
The Snack Shop,200,Fast Food,Coimbatore,Gandhipuram,https://www.zomato.com/coimbatore/the-snack-shop-gandhipuram/info,37,Quick Bites,2pm to 10pm(Mon-Sun),Not rated,-,-
Richeese Big Bites,300,Street Food,Coimbatore,RS Puram,https://www.zomato.com/coimbatore/richeese-big-bites-1-rs-puram/info,37,Quick Bites,11am to 9pm(Mon-Sun),Not rated,-,-
Cheese Bowl,400,"Italian,Continental",Coimbatore,Thudiyalur,https://www.zomato.com/coimbatore/cheese-bowl-1-thudiyalur/info,54,Quick Bites,11am to 11pm(Mon-Sun),Average,2.6,13
Eagle Cafe,400,"Cafe,Mexican,Italian",Coimbatore,Sitra,https://www.zomato.com/coimbatore/eagle-cafe-1-sitra/info,54,Café,11am to 11pm(Mon-Sun),Average,2.7,12
Fun Grill,400,"South Indian,North Indian",Coimbatore,Vadavalli,https://www.zomato.com/coimbatore/fun-grill-vadavalli/info,54,Quick Bites,6pm to 11pm(Mon-Sun),Average,3.4,10
Hotel Annalakshmi,500,"Chettinad,South Indian,Chinese",Coimbatore,Race Course,https://www.zomato.com/coimbatore/hotel-annalakshmi-race-course/info,54,Casual Dining,11am to 11pm(Mon-Sun),Good,3.6,12
Tiffin Box,250,South Indian,Coimbatore,Ramanathapuram,https://www.zomato.com/coimbatore/tiffin-box-ramanathapuram/info,54,none,11am to 11pm(Mon-Sun),Average,3.3,10
1002B.C.,700,"BBQ,Continental,South Indian,Chinese,Beverages",Coimbatore,RS Puram,https://www.zomato.com/coimbatore/1002b-c-rs-puram/info,54,Casual Dining,1130am to 11pm(Mon-Sun),None,NEW,NEW
K.R. Bakes & Restaurant,350,"Bakery,South Indian",Coimbatore,Ramanathapuram,https://www.zomato.com/coimbatore/k-r-bakes-restaurant-ramanathapuram/info,54,Quick Bites,6am to 11pm(Mon-Sun),Average,3.4,23
Naalu Mukku Idly Kadai,150,South Indian,Coimbatore,Peelamedu,https://www.zomato.com/coimbatore/naalu-mukku-idly-kadai-peelamedu/info,54,Quick Bites,"12noon to 4pm,6pm to 11pm(Mon-Sun)",Average,3.3,10
Rathina,600,"Continental,South Indian,Chinese,North Indian",Coimbatore,Race Course,https://www.zomato.com/coimbatore/rathina-race-course/info,54,Casual Dining,7am to 11pm(Mon-Sun),Average,2.6,16
Symphony,1200,"Chinese,Continental,South Indian",Coimbatore,The Grand Regent,https://www.zomato.com/coimbatore/symphony-race-course/info,54,Casual Dining,"7am to 10am,12noon to 3pm,7pm to 11pm(Mon-Sun)",Good,3.5,19
Sri Kamalai Cockarackoo,250,"South Indian,Chinese",Coimbatore,Vadavalli,https://www.zomato.com/coimbatore/sri-kamalai-cockarackoo-vadavalli/info,54,Quick Bites,10am to 11pm(Mon-Sun),Good,3.5,10
Whatshake,350,"Beverages,Fast Food",Coimbatore,Sitra,https://www.zomato.com/coimbatore/whatshake-sitra/info,54,Beverage Shop,1130am to 11pm(Mon-Sun),Average,3.4,21
The Cake Empire,100,"Desserts,Beverages",Coimbatore,Ramanathapuram,https://www.zomato.com/coimbatore/the-cake-empire-ramanathapuram/info,54,Beverage Shop,10am to 11pm(Mon-Sun),Average,3.2,7
Hotel Sri Nargani's,300,"South Indian,Chinese",Coimbatore,Vadavalli,https://www.zomato.com/coimbatore/hotel-sri-narganis-vadavalli/info,54,Quick Bites,8am to 11pm(Mon-Sun),Average,3.3,8
Kavitha Restaurant,300,South Indian,Coimbatore,Kavundampalayam,https://www.zomato.com/coimbatore/kavitha-restaurant-kavundampalayam/info,54,Quick Bites,"11am to 4pm,7pm to 11pm(Mon-Sun)",None,NEW,NEW
Al-Shifa Family Restaurant,350,"South Indian,North Indian,Chinese",Coimbatore,Podanur,https://www.zomato.com/coimbatore/al-shifa-family-restaurant-podanur/info,32,Casual Dining,11am to 10pm(Mon-Sun),Not rated,-,-
Cake Square,200,Bakery,Coimbatore,Singanallur,https://www.zomato.com/coimbatore/cake-square-singanallur/info,32,Bakery,930am to 10pm(Mon-Sun),Not rated,-,-
Mom's Chicken,400,Fast Food,Coimbatore,Peelamedu,https://www.zomato.com/coimbatore/moms-chicken-peelamedu/info,32,Quick Bites,12noon to 10pm(Mon-Sun),Not rated,-,-
Ragam Bakers,300,"Bakery,Desserts",Coimbatore,Ganapathy,https://www.zomato.com/coimbatore/ragam-bakers-ganapathy/info,32,Bakery,7am to 10pm(Mon-Sun),Average,3.0,8
Dosa Factory,200,South Indian,Coimbatore,Kavundampalayam,https://www.zomato.com/coimbatore/dosa-factory-kavundampalayam/info,32,Quick Bites,5pm to 10pm(Mon-Sun),Average,3.2,5
Kovai Pazhamudir Nilayam,400,"Beverages,Juices",Coimbatore,RS Puram,https://www.zomato.com/coimbatore/kovai-pazhamudir-nilayam-rs-puram/info,32,Beverage Shop,8am to 8pm(Mon-Sun),Average,3.0,4
Frishake,100,Beverages,Coimbatore,Singanallur,https://www.zomato.com/coimbatore/frishake-singanallur/info,32,Beverage Shop,10am to 10pm(Mon-Sun),Average,3.0,4
Nellai Lala Sweets,300,"Street Food,Mithai,Desserts",Coimbatore,Ramanathapuram,https://www.zomato.com/coimbatore/nellai-lala-sweets-ramanathapuram/info,32,Quick Bites,830am to 10pm(Mon-Sun),Average,3.2,8
Sri ayyappa Sweets,400,Mithai,Coimbatore,Kavundampalayam,https://www.zomato.com/coimbatore/sri-ayyappa-sweets-kavundampalayam/info,32,Sweet Shop,630am to 9pm(Mon-Sun),Not rated,-,-
Red Chilli Snacks & Bakes,100,Bakery,Coimbatore,Thudiyalur,https://www.zomato.com/coimbatore/red-chilli-snacks-bakes-thudiyalur/info,32,Bakery,1030am to 930pm(Mon-Sun),Not rated,-,-
Chaat Spot,100,Street Food,Coimbatore,Sitra,https://www.zomato.com/coimbatore/chaat-spot-sitra/info,32,Quick Bites,4pm to 1030pm(Mon-Sun),Not rated,-,-
Biriyani Dabba,200,Biryani,Coimbatore,Gandhipuram,https://www.zomato.com/coimbatore/biriyani-dabba-gandhipuram/info,32,Quick Bites,(Mon-Sun),Not rated,-,-
Hotel Uphar,200,South Indian,Coimbatore,Town Hall,https://www.zomato.com/coimbatore/hotel-uphar-town-hall/info,32,Mess,7am to 1030pm(Mon-Sun),Not rated,-,-
Hotel Lingaas,300,South Indian,Coimbatore,Gandhipuram,https://www.zomato.com/coimbatore/hotel-lingaas-gandhipuram/info,32,Quick Bites,"1230pm to 330pm,630pm to 1030pm(Mon-Sun)",Not rated,-,-
Nellai Muthu Vilas,150,"Desserts,Mithai",Coimbatore,RS Puram,https://www.zomato.com/coimbatore/nellai-muthu-vilas-rs-puram/info,32,Dessert Parlor,8am to 1030pm(Mon-Sun),Not rated,-,-
Choco Garden,400,"Bakery,Street Food,South Indian",Coimbatore,Gandhipuram,https://www.zomato.com/coimbatore/choco-garden-gandhipuram/info,70,Bakery,10am to 11pm(Mon-Sun),Not rated,-,-
Chicken Bounty,300,Fast Food,Coimbatore,Saravanampatty,https://www.zomato.com/coimbatore/chicken-bounty-saravanampatty/info,70,Quick Bites,11am to 11pm(Mon-Sun),None,NEW,NEW
Siraj Chinese Food,250,Chinese,Coimbatore,Ukkadam,https://www.zomato.com/coimbatore/siraj-chinese-food-ukkadam/info,70,Quick Bites,1130am to 11pm(Mon-Sun),Not rated,-,-
Home Family Restaurant,500,"North Indian,South Indian",Coimbatore,RS Puram,https://www.zomato.com/coimbatore/home-family-restaurant-rs-puram/info,70,Quick Bites,11am to 11pm(Mon-Sun),Not rated,-,-
Curry8,350,"Goan,North Indian,South Indian",Coimbatore,Saravanampatty,https://www.zomato.com/coimbatore/curry8-saravanampatty/info,70,none,12noon to 12midnight(Mon-Sun),None,NEW,NEW
Tamil Aruntakam,200,Fast Food,Coimbatore,Singanallur,https://www.zomato.com/coimbatore/tamil-aruntakam-singanallur/info,70,Quick Bites,11am to 11pm(Mon-Sun),None,NEW,NEW
Hopes Kitchen,300,"Chinese,South Indian",Coimbatore,Peelamedu,https://www.zomato.com/coimbatore/hopes-kitchen-peelamedu/info,70,Quick Bites,11am to 11pm(Mon-Sun),Not rated,-,-
Mom 'M' Hungry,300,"North Indian,Healthy Food",Coimbatore,Saravanampatty,https://www.zomato.com/coimbatore/mom-m-hungry-saravanampatty/info,70,Quick Bites,11am to 11pm(Mon-Sun),None,NEW,NEW
Tmm Mess,200,South Indian,Coimbatore,Vadavalli,https://www.zomato.com/coimbatore/tmm-mess-vadavalli/info,70,Quick Bites,8am to 11pm(Mon-Sun),Not rated,-,-
Dudes Cafe,200,"Beverages,Fast Food,Chinese",Coimbatore,Nehru Stadium,https://www.zomato.com/coimbatore/dudes-cafe-nehru-stadium/info,70,Quick Bites,7am to 11pm(Mon-Sun),Not rated,-,-
Mr.Kongu Kitchen,350,"South Indian,Biryani",Coimbatore,Peelamedu,https://www.zomato.com/coimbatore/mr-kongu-kitchen-peelamedu/info,70,Quick Bites,11am to 1am(Mon-Sun),None,NEW,NEW
Taste Point,300,"Chinese,North Indian,South Indian",Coimbatore,Ganapathy,https://www.zomato.com/coimbatore/taste-point-ganapathy/info,70,Quick Bites,7am to 11pm(Mon-Sun),Not rated,-,-
Royal Court,850,"North Indian,Chinese",Coimbatore,RS Puram,https://www.zomato.com/coimbatore/royal-court-rs-puram/info,70,Casual Dining,11am to 11pm(Mon-Sun),Not rated,-,-
Sri Krishna Hotel,200,South Indian,Coimbatore,Race Course,https://www.zomato.com/coimbatore/sri-krishna-hotel-race-course/info,70,Quick Bites,11am to 11pm(Mon-Sun),Not rated,-,-
Dhanapuriya Restaurant,200,"South Indian,Chinese",Coimbatore,Sivanadha Colony,https://www.zomato.com/coimbatore/dhanapuriya-restaurant-sivanadha-colony/info,70,Quick Bites,730am to 11pm(Mon-Sun),Not rated,-,-
CHIXY CHICK 'N' CAFE,300,"North Indian,Chinese",Coimbatore,Saravanampatty,https://www.zomato.com/coimbatore/chixy-chick-n-cafe-saravanampatty/info,46,Quick Bites,"11am to 1130pm(Mon),1130am to 1130pm(Tue-Sun)",Good,3.7,36
Thambi Hotel,250,"Chettinad,South Indian,Fast Food",Coimbatore,Podanur,https://www.zomato.com/coimbatore/thambi-hotel-podanur/info,46,Quick Bites,1030am to 11pm(Mon-Sun),Good,3.7,18
Hotel Green Land,300,"North Indian,Fast Food",Coimbatore,Peelamedu,https://www.zomato.com/coimbatore/hotel-green-land-peelamedu/info,46,Quick Bites,830am to 11pm(Mon-Sun),Good,3.7,56
Hotel Chola,250,"South Indian,North Indian",Coimbatore,RS Puram,https://www.zomato.com/coimbatore/hotel-chola-rs-puram/info,46,Quick Bites,11am to 11pm(Mon-Sun),Good,3.5,46
Rithu Chinese restaurant,500,Chinese,Coimbatore,Kavundampalayam,https://www.zomato.com/coimbatore/rithu-chinese-restaurant-kavundampalayam/info,46,Quick Bites,"12noon to 3pm,6pm to 11pm(Mon-Sun)",Good,3.9,27
Sandy's Kitchen,250,South Indian,Coimbatore,Peelamedu,https://www.zomato.com/coimbatore/sandys-kitchen-peelamedu/info,46,Quick Bites,11am to 11pm(Mon-Sun),Average,3.3,18
Sandwich Square,250,"Fast Food,Sandwich,Beverages",Coimbatore,Peelamedu,https://www.zomato.com/coimbatore/sandwich-square-peelamedu/info,46,Quick Bites,11am to 11pm(Mon-Sun),Average,2.5,45
Aachies,600,"Arabian,Seafood,North Indian,South Indian,Chinese,Grill,Indian",Coimbatore,Race Course,https://www.zomato.com/coimbatore/aachies-race-course/info,46,Casual Dining,"11am to 4pm,630pm to 11pm(Mon-Sun)",Good,3.5,50
Denmarrk Drive-Inn Restaurant,300,"Fast Food,North Indian",Coimbatore,RS Puram,https://www.zomato.com/coimbatore/denmarrk-drive-inn-restaurant-rs-puram/info,46,Quick Bites,11am to 11pm(Mon-Sun),Good,3.6,14
SMS Hotels,400,Indian,Coimbatore,Prozone Mall-- Ganapathy,https://www.zomato.com/coimbatore/sms-hotels-ganapathy/info,46,Quick Bites,11am to 11pm(Mon-Sun),Average,2.7,17
Bissmilla Catering,200,North Indian,Coimbatore,Ramanathapuram,https://www.zomato.com/coimbatore/bissmilla-catering-ramanathapuram/info,46,Quick Bites,11am to 11pm(Mon-Sun),None,NEW,NEW
