NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,PAGE NO,CUSINE TYPE,TIMING,RATING_TYPE,RATING,VOTES
Roll Over,300,Ice Cream,Chennai,Potheri,https://www.zomato.com/chennai/roll-over-potheri/info,298,Dessert Parlor,"1130am to 1130pm(Mon-Fri),1130am to 1am(Sat-Sun)",None,NEW,NEW
Sheeks and Shakes,250,"Mughlai,Beverages",Chennai,Alwarpet,https://www.zomato.com/chennai/sheeks-and-shakes-alwarpet/info,298,Quick Bites,11am to 2am(Mon-Sun),Average,3.4,12
Al. Grillz & Tandoori,400,"North Indian,Kebab,Arabian",Chennai,Tambaram,https://www.zomato.com/chennai/al-grillz-tandoori-tambaram/info,298,none,1130am to 330am(Mon-Sun),Average,2.8,13
Masa Restaurant,400,"South Indian,North Indian,Chinese",Chennai,Egmore,https://www.zomato.com/chennai/masa-restaurant-egmore/info,298,Quick Bites,1130am to 1130pm(Mon-Sun),Average,2.9,13
Namma Ooru Bhai Biriyani,500,Biryani,Chennai,Anna Nagar East,https://www.zomato.com/chennai/namma-ooru-bhai-biriyani-1-anna-nagar-east/info,298,Quick Bites,12noon to 12midnight(Mon-Sun),Average,3.2,10
Regos Cafe,250,"Fast Food,Rolls",Chennai,Tambaram,https://www.zomato.com/chennai/regos-cafe-tambaram/info,298,Quick Bites,10am to 1am(Mon-Sun),Average,3.3,16
Roll Stone,200,"Desserts,Ice Cream",Chennai,Perungudi,https://www.zomato.com/chennai/roll-stone-perungudi/info,298,Dessert Parlor,11am to 3am(Mon-Sun),None,NEW,NEW
Hermon Fast Food,250,"Fast Food,South Indian,Chinese",Chennai,Arumbakkam,https://www.zomato.com/chennai/hermon-fast-food-1-arumbakkam/info,298,Quick Bites,12noon to 12midnight(Mon-Sun),Average,2.9,10
Sasi's Kitchen,500,"North Indian,Chinese",Chennai,Madhavaram,https://www.zomato.com/chennai/sasis-kitchen-1-madhavaram/info,183,Casual Dining,11am to 11pm(Mon-Sun),Average,3.1,12
Relax Point,250,"Burger,Sandwich,Beverages,Desserts",Chennai,Selaiyur,https://www.zomato.com/chennai/relax-point-selaiyur/info,183,Quick Bites,"1030am to 1030pm(Mon-Sat),1130am to 10pm(Sun)",Average,3.2,8
Oh My Grill,250,Arabian,Chennai,East Coast Road (ECR),https://www.zomato.com/chennai/oh-my-grill-east-coast-road-ecr/info,183,Quick Bites,6pm to 11pm(Mon-Sun),Average,2.9,9
Bismillah Biriyani,150,Biryani,Chennai,George Town,https://www.zomato.com/chennai/bismillah-biriyani-george-town/info,183,Quick Bites,11am to 6pm(Mon-Sun),Average,3.1,14
A.S. Arcot Biriyani,200,Biryani,Chennai,Kolathur,https://www.zomato.com/chennai/a-s-arcot-biriyani-kolathur/info,183,Quick Bites,11am to 1030pm(Mon-Sun),Average,3.2,8
Madras Chutney,150,South Indian,Chennai,Semmancheri,https://www.zomato.com/madras-chutney-food-truck/info,183,Food Truck,"7am to 10am,7pm to 10pm(Mon-Sun)",Average,3.3,11
Hotel Pandian,600,"Chettinad,Chinese,Continental,Desserts,South Indian",Chennai,Egmore,https://www.zomato.com/chennai/hotel-pandian-egmore/info,183,Casual Dining,"8am to 1030am,1pm to 3pm,7pm to 11pm(Mon-Sun)",Not rated,-,-
Oh Yeah Sandwiches,200,"Fast Food,Street Food",Chennai,Kilpauk,https://www.zomato.com/chennai/oh-yeah-sandwiches-kilpauk/info,183,Quick Bites,11am to 10pm(Mon-Sun),Average,3.3,7
